Commodore 128 Games List,There are 30 video games on Commodore 128.      They were released between the years 1985 and 2024.   10 people from 23 developers and publishers are credited with these titles!,1985–2024
"Commodore 16, Plus/4 Games List","There are 507 video games on Commodore 16, Plus/4.      They were released between the years 1984 and 2024.   267 people from 185 developers and publishers are credited with these titles!",1984–2024
Commodore 64 Games List,"The Commodore 64 is an 8-bit micro computer and successor to the VIC-20. It holds the record of being the highest selling computer model of all time with between 12.5 and 17 million units sold between August 1982 and April 1994. The computer outsold all competitors in the US, was the second most sold computer in the UK, but failed to get a foothold in Japan and France.",1982–2025
Commodore PET/CBM Games List,The Commodore PET (later marketed as Commodore Business Machine) was a highly successful microcomputer launched in October 1977 by Commodore. The computer used a MOS Technology 6502 processor and saw many game releases due to its popularity which was only matched by the Apple II and TRS-80 at the time.,1977–2024
CP/M Games List,"CP/M (Control Program/Monitor, or later Control Program for Microcomputers) is a computer operating system that made its debut in 1974. The OS ran on most mass market processors available at the time and was one of the more successful operating systems until being surpassed by DOS.",1977–2020
CreatiVision Games List,There are 4 video games on CreatiVision.      They were released between the years 1981 and 2024.   1 developers and publishers are credited with these titles!,1981–2024
Dedicated console Games List,"The Dedicated console platform documents all games released as a standalone device. This means the game does not support the use of discs, cartridges, downloading or other media to be expanded with more games. Instead it plays just the game or games it's pre-programmed (or engineered) to play.",1956–2024
Dedicated handheld Games List,"The Dedicated handheld platform documents all games released as a standalone device that's held in the player's hands while they play the game. This means the game does not support the use of discs, cartridges, downloading or other media to be expanded with more games. Instead it plays just the game or games it's pre-programmed (or engineered) to play. Dedicated handheld devices are well suited to play while traveling because they are compact and do not rely on external peripherals. They are typically battery-powered.",1976–2025
DOS Games List,"MS-DOS was a computer operating system by Microsoft Corporation. It was first released in 1981 in IBM PCs as PC DOS, but was soon licensed to IBM clone manufacturers as MS-DOS. The last retail release was version 6.2.2 in 1994, but the system was still under development as underlying part of the Windows platform until Windows ME in 2000. Because of the dominance of MS-DOS and IBM PC compatible hardware, it became the most widespread PC gaming platform until Microsoft's own Windows became the new dominant PC platform.",1981–2025
Dragon 32/64 Games List,The Dragon 32 and Dragon 64 are 8-bit home computers released in August 1982 by Dragon Data. The computers were marketed in Europe and the US. The computer used a Motorola 6809E processor. The 32 and 64 numbers referred to the amount of RAM.,1982–2022
Dreamcast Games List,"There are 572 video games on Dreamcast.      They were released between the years 1998 and 2025.   18,436 people from 650 developers and publishers are credited with these titles!",1998–2025
DVD Player Games List,"There are 426 video games on DVD Player.      They were released between the years 1997 and 2024.   3,438 people from 432 developers and publishers are credited with these titles!",1997–2024
Electron Games List,"The Acorn Electron was a computer released by Acorn Electronics in August 1983 for the UK market. The computer was offered as a lower-cost alternative to their BBC Micro product line. While the computer initially sold well, support was dropped already in 1985.",1982–2023
Enterprise Games List,There are 30 video games on Enterprise.      They were released between the years 1985 and 2025.   15 people from 14 developers and publishers are credited with these titles!,1985–2025
Epoch Game Pocket Computer Games List,There are 3 video games on Epoch Game Pocket Computer.      They were released between the years 1985 and 2023.   2 developers and publishers are credited with these titles!,1985–2023
Epoch Super Cassette Vision Games List,There are 13 video games on Epoch Super Cassette Vision.      They were released between the years 1984 and 2023.   4 developers and publishers are credited with these titles!,1984–2023
Evercade Games List,"The Evercade is a British retro-gaming handheld system developed and manufactured by Blaze Entertainment. It runs ROM-based cartridges, displays on a 4:3 or 16:9 aspect ratio, and can be plugged into a television. It was created in response to gamers, who wanted to play obscure and underrated video games. In addition to a large library of computer and console games, as well as various collections, it also brings arcade games at home or on the go.",2020–2025
Fire OS Games List,There are 123 video games on Fire OS.      They were released between the years 2011 and 2024.   565 people from 159 developers and publishers are credited with these titles!,2011–2024
FM Towns Games List,"There are 507 video games on FM Towns.      They were released between the years 1989 and 2020.   1,605 people from 218 developers and publishers are credited with these titles!",1989–2020
FM-7 Games List,There are 380 video games on FM-7.      They were released between the years 1981 and 2023.   404 people from 130 developers and publishers are credited with these titles!,1981–2023
G-cluster Games List,There are 3 video games on G-cluster.      They were released between the years 2016 and 2021.   7 developers and publishers are credited with these titles!,2016–2021
Game Boy Games List,"There are 839 video games on Game Boy.      They were released between the years 1989 and 2025.   3,993 people from 655 developers and publishers are credited with these titles!",1989–2025
Game Boy Advance Games List,"There are 1,264 video games on Game Boy Advance.      They were released between the years 2001 and 2025.   23,606 people from 900 developers and publishers are credited with these titles!",2001–2025
Game Boy Color Games List,"There are 711 video games on Game Boy Color.      They were released between the years 1998 and 2025.   8,185 people from 681 developers and publishers are credited with these titles!",1998–2025
Game Gear Games List,"The Game Gear is an 8-bit handheld system, which features a 3.2 inch resolution (160 by 146 pixels) backlit screen, sporting 32 colors out of a vast 4,096 color palette. It is powered by six AA batteries. It was manufactured to compete with Nintendo’s Game Boy. A TV Tuner accessory was built into the hardware, so it could be played on a TV screen. There were also Gear-To-Gear cables made to allow for two-player gaming. The system was discontinued in 1997.",1990–2023
Game.Com Games List,There are 21 video games on Game.Com.      They were released between the years 1997 and 2024.   10 people from 9 developers and publishers are credited with these titles!,1997–2024
Genesis Games List,"The Sega Genesis, known as the Mega Drive outside North America, is a 16-bit fourth-generation home video game console developed and sold by Sega. The Genesis was Sega's third console and the successor to the Master System. Sega released it in 1988 in Japan, and in 1989 in North America.",1988–2026
Hitachi Basic Master Level 3 Games List,The Basic Master Level 3 was a 8-bit microcomputer released by Hitachi in 1980 in Japan. The computer used the Motorola 6809 CPU and because of that was not compatible with the two earlier computer models (Basic Master Level 1 and 2).,1981–2023
Hitachi S1 Games List,There are 25 video games on Hitachi S1.      They were released between the years 1984 and 2023.   2 people from 17 developers and publishers are credited with these titles!,1984–2023
iiRcade Games List,There are 61 video games on iiRcade.      They were released between the years 2020 and 2023.   57 developers and publishers are credited with these titles!,2020–2023
Intellivision Games List,"The Intellivision is a second generation home video game console developed by Mattel Electronics. The console released in 1979 in North America with other markets following in 1982. The Intellivision was generally considered a more sophisticated console as the Atari 2600, and the only serious market rival.",1979–2025
iPad Games List,"There are 12,175 video games on iPad.      They were released between the years 2008 and 2029.   28,510 people from 7,602 developers and publishers are credited with these titles!",2008–2029
iPhone Games List,"There are 12,920 video games on iPhone.      They were released between the years 2008 and 2026.   62,214 people from 8,090 developers and publishers are credited with these titles!",2008–2026
Jaguar Games List,"There are 109 video games on Jaguar.      They were released between the years 1993 and 2025.   1,014 people from 115 developers and publishers are credited with these titles!",1993–2025
KaiOS Games List,There are 12 video games on KaiOS.      They were released between the years 2018 and 2021.   162 people from 18 developers and publishers are credited with these titles!,2018–2021
Laser 200 Games List,There are 6 video games on Laser 200.      They were released between the years 1983 and 2023.   1 people from 3 developers and publishers are credited with these titles!,1983–2023
Linux Games List,"There are 11,207 video games on Linux.      They were released between the years 1991 and 2029.   12,630 people from 7,061 developers and publishers are credited with these titles!",1991–2029
Luna Games List,There are 136 video games on Luna.      They were released between the years 2020 and 2025.   521 developers and publishers are credited with these titles!,2020–2025
Lynx Games List,There are 99 video games on Lynx.      They were released between the years 1989 and 2024.   328 people from 72 developers and publishers are credited with these titles!,1989–2024
Macintosh Games List,"There are 21,565 video games on Macintosh.      They were released between the years 1984 and 2029.   35,000 people from 12,989 developers and publishers are credited with these titles!",1984–2029
Magic Leap Games List,"The Magic Leap is an untethered augmented reality headset designed by the American technology company Magic Leap, Inc. Games are distributed via the Magic Leap World app on the device.",2018–2020
Matsushita/Panasonic JR Games List,"The JR series of computers was a line of personal computers introduced by Matsushita Electric Industrial and later marketed under the Panasonic label. The machine was mostly marketed in Japan, but some models also made its way to the US and Europe.",1982–2023
Mattel Aquarius Games List,There are 20 video games on Mattel Aquarius.      They were released between the years 1983 and 2023.   2 people from 6 developers and publishers are credited with these titles!,1983–2023
Mitsubishi Multi-8 Games List,The Multi-8 is an 8-bit microcomputer released by Mitsubishi Electric in 1983 for the Japanese market. The computer ran on a Zilog Z80 microprocessor.,1983–2023
MSX Games List,"There are 1,475 video games on MSX.      They were released between the years 1983 and 2025.   1,444 people from 581 developers and publishers are credited with these titles!",1983–2025
N-Gage Games List,"There are 64 video games on N-Gage.      They were released between the years 2003 and 2022.   1,913 people from 92 developers and publishers are credited with these titles!",2003–2022
Neo Geo Games List,"There are 127 video games on Neo Geo.      They were released between the years 1991 and 2023.   1,153 people from 46 developers and publishers are credited with these titles!",1991–2023
Neo Geo CD Games List,There are 101 video games on Neo Geo CD.      They were released between the years 1994 and 2021.   522 people from 27 developers and publishers are credited with these titles!,1994–2021
NES Games List,"There are 1,586 video games on NES.      They were released between the years 1983 and 2025.   5,430 people from 703 developers and publishers are credited with these titles!",1983–2025
New Nintendo 3DS Games List,There are 126 video games on New Nintendo 3DS.      They were released between the years 2015 and 2022.   494 people from 79 developers and publishers are credited with these titles!,2015–2022
Nintendo 3DS Games List,"There are 1,689 video games on Nintendo 3DS.      They were released between the years 2011 and 2025.   28,246 people from 1,210 developers and publishers are credited with these titles!",2011–2025
Nintendo 64 Games List,"There are 388 video games on Nintendo 64.      They were released between the years 1996 and 2023.   12,768 people from 440 developers and publishers are credited with these titles!",1996–2023
Nintendo DS Games List,"There are 2,357 video games on Nintendo DS.      They were released between the years 2004 and 2020.   55,531 people from 1,728 developers and publishers are credited with these titles!",2004–2020
Nintendo Switch Games List,"There are 13,039 video games on Nintendo Switch.      They were released between the years 2017 and 2026.   78,582 people from 9,227 developers and publishers are credited with these titles!",2017–2026
Nintendo Switch 2 Games List,"There are 64 video games on Nintendo Switch 2.      They were released between the years 2025 and 2026.   4,352 people from 162 developers and publishers are credited with these titles!",2025–2026
Oculus Go Games List,There are 263 video games on Oculus Go.      They were released between the years 2015 and 2020.   287 people from 282 developers and publishers are credited with these titles!,2015–2020
OOParts Games List,"OOParts is a Japanese cloud gaming service which allows customers to play a selection of adult visual novels and other games from desktop and mobile devices. The service was launched in Japan on April 24, 2020 and can be accessed from other areas, but is only available in the Japanese language.",2020–2022
Oric Games List,There are 132 video games on Oric.      They were released between the years 1983 and 2024.   92 people from 59 developers and publishers are credited with these titles!,1983–2024
Ouya Games List,There are 251 video games on Ouya.      They were released between the years 2013 and 2020.   65 people from 254 developers and publishers are credited with these titles!,2013–2020
Pandora Games List,There are 8 video games on Pandora.      They were released between the years 2010 and 2022.   95 people from 1 developers and publishers are credited with these titles!,2010–2022
PC Booter Games List,"These games were typically released on floppy disks and required no operating system on an IBM compatible PC. Instead, the disk was inserted and the computer powered on, and it would boot directly into the game. As such the games did not need the typical OS DOS to be booted first.",1981–2024
PC-6001 Games List,"The PC-6001 is a series of computer models by NEC, released both in Japan and the United States. The computer first entered the market in November 1981 and ran on a proprietary μPD780C-1 processor which was compatible with the Zilog Z80.",1981–2023
PC-8000 Games List,"The PC-8000 is a line of computers by Japanese manufacturer NEC. The first model (PC-8001) was sold from September 1979 in Japan. Undercutting the export price of the popular US-made computers of the time (Apple II, Commodore PET, and TRS-80) combined with its native Katakana glyph support made it a big success in Japan. The computer used the NEC μPD780C-1 processor, which is compatible with the Zilog Z80.",1980–2024
PC-88 Games List,"The PC-88 or PC-8800 series, is a series of 8 and 16-bit microcomputers by Japanese manufacturer NEC. It was one of the dominant computer platforms in Japan until being replaced by NEC's PC-98.",1981–2023
PC-98 Games List,"There are 1,426 video games on PC-98.      They were released between the years 1983 and 2023.   4,643 people from 500 developers and publishers are credited with these titles!",1983–2023
PICO Games List,There are 29 video games on PICO.      They were released between the years 2022 and 2024.   52 developers and publishers are credited with these titles!,2022–2024
Playdate Games List,There are 116 video games on Playdate.      They were released between the years 2021 and 2025.   415 people from 55 developers and publishers are credited with these titles!,2021–2025
PlayStation Games List,"There are 3,057 video games on PlayStation.      They were released between the years 1994 and 2021.   68,033 people from 2,134 developers and publishers are credited with these titles!",1994–2021
PlayStation 2 Games List,"There are 3,467 video games on PlayStation 2.      They were released between the years 2000 and 2020.   147,968 people from 2,348 developers and publishers are credited with these titles!",2000–2020
PlayStation 3 Games List,"There are 5,120 video games on PlayStation 3.      They were released between the years 2006 and 2022.   119,617 people from 3,080 developers and publishers are credited with these titles!",2006–2022
PlayStation 4 Games List,"There are 11,761 video games on PlayStation 4.      They were released between the years 2013 and 2026.   176,266 people from 8,584 developers and publishers are credited with these titles!",2013–2026
PlayStation 5 Games List,"There are 3,956 video games on PlayStation 5.      They were released between the years 2019 and 2026.   144,279 people from 5,049 developers and publishers are credited with these titles!",2019–2026
PlayStation Now Games List,There are 126 video games on PlayStation Now.      They were released between the years 2014 and 2021.   422 developers and publishers are credited with these titles!,2014–2021
Plex Arcade Games List,There are 27 video games on Plex Arcade.      They were released between the years 2021 and 2021.   7 developers and publishers are credited with these titles!,2021–2021
PS Vita Games List,"There are 2,595 video games on PS Vita.      They were released between the years 2011 and 2023.   19,155 people from 1,945 developers and publishers are credited with these titles!",2011–2023
PSP Games List,"There are 2,265 video games on PSP.      They were released between the years 2004 and 2022.   56,490 people from 1,747 developers and publishers are credited with these titles!",2004–2022
Quest Games List,"There are 476 video games on Quest.      They were released between the years 2014 and 2025.   13,245 people from 731 developers and publishers are credited with these titles!",2014–2025
Roku Games List,There are 19 video games on Roku.      They were released between the years 2011 and 2023.   13 people from 20 developers and publishers are credited with these titles!,2011–2023
SEGA Master System Games List,"There are 354 video games on SEGA Master System.      They were released between the years 1985 and 2025.   1,334 people from 210 developers and publishers are credited with these titles!",1985–2025
SG-1000 Games List,There are 84 video games on SG-1000.      They were released between the years 1983 and 2025.   19 people from 35 developers and publishers are credited with these titles!,1983–2025
Sharp MZ-80B/2000/2500 Games List,This platform documents a range of 8-bit microcomputers by Sharp that ran on the Zilog Z80 microprocessor. Unlike the MZ-80K range all these computers (except where noted below) came with a monitor.,1981–2024
Sharp MZ-80K/700/800/1500 Games List,This platform documents a range of 8-bit microcomputers by Sharp that ran on the Zilog Z80 microprocessor.,1980–2025
Sharp X1 Games List,There are 369 video games on Sharp X1.      They were released between the years 1982 and 2023.   303 people from 124 developers and publishers are credited with these titles!,1982–2023
Sharp X68000 Games List,"There are 470 video games on Sharp X68000.      They were released between the years 1987 and 2022.   1,408 people from 209 developers and publishers are credited with these titles!",1987–2022
SMC-777 Games List,"The SMC-777 was an 8-bit Japanese computer by Sony. First launched in November 1983, the computer ran on the BASIC programming language with an operating system named Sony Filer OS, which took the form of a menu driven interface. The computer included an in-built 3.5-inch floppy drive, a 16-color display (4-colors in a large resolution) out of a immense 4,096 color variety, and a directional pad styled set of cursor keys.",1983–2023
SNES Games List,"There are 1,279 video games on SNES.      They were released between the years 1990 and 2025.   14,819 people from 892 developers and publishers are credited with these titles!",1990–2025
Socrates Games List,There are 0 video games on Socrates.      0 developers and publishers are credited with these titles!,Undated–Undated
Sord M5 Games List,There are 21 video games on Sord M5.      They were released between the years 1982 and 2023.   7 developers and publishers are credited with these titles!,1982–2023
Spectravideo Games List,There are 33 video games on Spectravideo.      They were released between the years 1983 and 2025.   10 people from 14 developers and publishers are credited with these titles!,1983–2025
Stadia Games List,"There are 307 video games on Stadia.      They were released between the years 2019 and 2023.   7,724 people from 1,276 developers and publishers are credited with these titles!",2019–2023
Supervision Games List,There are 68 video games on Supervision.      They were released between the years 1992 and 2024.   31 people from 9 developers and publishers are credited with these titles!,1992–2024
SWTPC 6800 Games List,The SWTPC 6800 is a computer based on the Motorola 6800 processor. The computer was introduced in November 1975 and was followed up by the SWTPC 6809 in 1979 based on the upgraded processor. Both computers are documented under this same platform.,1976–2023
Symbian Games List,"There are 322 video games on Symbian.      They were released between the years 1998 and 2022.   1,849 people from 230 developers and publishers are credited with these titles!",1998–2022
TI Programmable Calculator Games List,"Texas Instruments Programmable Calculators are a series of calculators that have gone through significant hardware changes since their introduction in 1975. The programmable nature of the machines made it possible to code simple games on them. With each generation their capability has become more and more complex. Initial models could generally only output numbers, either on a small display or printed. Later models feature a larger screens allowing graphing and even color graphics and thus also more complex games.",1976–2024
TI-99/4A Games List,"The TI-99/4 and TI-99/4A are two computers released by Texas Instruments in 1979 and 1981 respectively. It claims to be the first 16-bit home computer, based on the TMS9900 microprocessor. Unlike the primary competition at the time the computer used proprietary cartridges for data instead of floppy disks or cassette tapes.",1979–2023
Tomy Tutor Games List,There are 18 video games on Tomy Tutor.      They were released between the years 1982 and 2023.   3 developers and publishers are credited with these titles!,1982–2023
Toshiba Pasopia Games List,"The Toshiba Pasopia is a series of computers released by Toshiba in Japan during the 1980s. The computers run on a Z80 microprocessor and run their own two varieties of BASIC, T-BASIC, which is based on MS BASIC and Toshiba's own OA-BASIC. Later versions had an updated version called T-BASIC7",1982–2023
TRS-80 Games List,The TRS-80 was a highly successful microcomputer released in August 1977 by recently fused companies Tandy and Radio Shack. The computer used a Zilog Z80 processor and saw many game releases due to its popularity which was only matched by the Apple II and Commodore PET at the time.,1977–2023
TRS-80 CoCo Games List,"The TRS-80 CoCo (Color Computer) was a successor to the TRS-80 computer. It was released in September 1980, and aside from featuring color graphics, drastically changed the hardware compared to its predecessor by switching to the Motorola 6809E processor.",1980–2023
TRS-80 MC-10 Games List,There are 12 video games on TRS-80 MC-10.      They were released between the years 1983 and 2023.   1 people from 1 developers and publishers are credited with these titles!,1983–2023
TRS-80 Model 100 Games List,There are 5 video games on TRS-80 Model 100.      They were released between the years 1983 and 2024.   2 people from 4 developers and publishers are credited with these titles!,1983–2024
TurboGrafx CD Games List,"There are 419 video games on TurboGrafx CD.      They were released between the years 1988 and 2021.   6,400 people from 286 developers and publishers are credited with these titles!",1988–2021
TurboGrafx-16 Games List,"There are 306 video games on TurboGrafx-16.      They were released between the years 1987 and 2024.   2,140 people from 191 developers and publishers are credited with these titles!",1987–2024
tvOS Games List,There are 616 video games on tvOS.      They were released between the years 2015 and 2025.   511 people from 859 developers and publishers are credited with these titles!,2015–2025
Vectrex Games List,There are 39 video games on Vectrex.      They were released between the years 1982 and 2021.   26 people from 15 developers and publishers are credited with these titles!,1982–2021
VIC-20 Games List,"The Commodore VIC-20 was a highly successful microcomputer launched in October 1980 in Japan and in 1981 in the rest of the world by Commodore as a successor to the Commodore PET. The computer used the same MOS Technology 6502 processor as the PET, but added color graphics, ROM and additional RAM memory. It sold over 2.5 million units which was more than 10 times the amount of PETs sold, which was already considerable at the time. The VIC-20 was later overshadowed by the even more successful Commodore 64.",1980–2023
visionOS Games List,There are 22 video games on visionOS.      They were released between the years 2022 and 2025.   1 people from 30 developers and publishers are credited with these titles!,2022–2025
watchOS Games List,There are 28 video games on watchOS.      They were released between the years 2015 and 2025.   23 developers and publishers are credited with these titles!,2015–2025
webOS Games List,There are 76 video games on webOS.      They were released between the years 2009 and 2021.   197 people from 49 developers and publishers are credited with these titles!,2009–2021
Wii Games List,"There are 2,608 video games on Wii.      They were released between the years 2006 and 2020.   67,758 people from 1,903 developers and publishers are credited with these titles!",2006–2020
Wii U Games List,"There are 1,386 video games on Wii U.      They were released between the years 2012 and 2023.   19,068 people from 1,114 developers and publishers are credited with these titles!",2012–2023
Windows Games List,Windows is a computer operating system by Microsoft Corporation. This platform is for native 32-bit and 64-bit games; 16-bit games are documented under the Windows 16-bit platform.,1993–2066
Windows 16-bit Games List,"This platform documents the first 16-bit versions of Microsoft Windows, a computer operating system by Microsoft Corporation. These versions of Windows were part OS and part graphical user interface (GUI) on top of MS-DOS. It was succeeded by Windows 95 in 1995 and officially discontinued in 2001.",1985–2020
Windows Apps Games List,"There are 2,620 video games on Windows Apps.      They were released between the years 2012 and 2026.   35,068 people from 3,437 developers and publishers are credited with these titles!",2012–2026
Windows Phone Games List,"There are 852 video games on Windows Phone.      They were released between the years 2010 and 2023.   1,109 people from 724 developers and publishers are credited with these titles!",2010–2023
WonderSwan Games List,There are 106 video games on WonderSwan.      They were released between the years 1999 and 2024.   727 people from 99 developers and publishers are credited with these titles!,1999–2024
WonderSwan Color Games List,There are 47 video games on WonderSwan Color.      They were released between the years 2000 and 2023.   611 people from 51 developers and publishers are credited with these titles!,2000–2023
Xbox 360 Games List,"There are 4,968 video games on Xbox 360.      They were released between the years 2005 and 2020.   136,154 people from 3,155 developers and publishers are credited with these titles!",2005–2020
Xbox Cloud Gaming Games List,"There are 399 video games on Xbox Cloud Gaming.      They were released between the years 2020 and 2025.   1,351 developers and publishers are credited with these titles!",2020–2025
Xbox One Games List,"There are 8,828 video games on Xbox One.      They were released between the years 2013 and 2026.   62,345 people from 7,353 developers and publishers are credited with these titles!",2013–2026
Xbox Series Games List,"There are 4,459 video games on Xbox Series.      They were released between the years 2019 and 2026.   57,562 people from 5,591 developers and publishers are credited with these titles!",2019–2026
Z-machine Games List,There are 42 video games on Z-machine.      They were released between the years 1995 and 2020.   163 people from 2 developers and publishers are credited with these titles!,1995–2020
ZX Spectrum Games List,"The ZX Spectrum is an 8-bit micro computer developed and marketed by the UK company Sinclair Research. The computer was first released in the UK in April 1982, and launched in the US the year after and most of Europe in 1985. It is the successor the ZX81 The computer went on to be one of the best-selling British computers. Over five million units were sold. The production stopped in 1992.",1982–2024
ZX Spectrum Next Games List,There are 56 video games on ZX Spectrum Next.      They were released between the years 2017 and 2024.   72 people from 20 developers and publishers are credited with these titles!,2017–2024
ZX81 Games List,The ZX81 is an 8-bit microcomputer by Sinclair Research. The computer was released in March 1981 in the UK. It uses the Zilog Z80 processor. It succeeded the ZX80 and had an introduction price of only £50 in kit form which made it a very attractive offer despite the computer not being very powerful. The computer went on to sell 1.5 million units which is 15 times as much as its predecessor. In 1982 the computer was succeeded by the even more successful ZX Spectrum.,1981–2023
